"","originalID","studyName","Lat","Long","impactScore","impact","Name","nudgedLong","nudgedLat","coords.x3"
"1","5","Barrett",-43.049,147.35,-9999,"no","Point 19",147.3778152,-43.0490707,0
"2","6","Barrett",-43.057,147.34,-9999,"no","Point 18",147.3675156,-43.0583529,0
"3","20","Birchenough",55.156,-1.426,-9999,"no","Point 43",-1.4007568,55.1557279,0
"4","21","Birchenough",55.144,-1.45,-9999,"no","Point 44",-1.4206696,55.1427794,0
"5","27","Bollens",37.57,-122.191,-9999,"no","Point 61",-122.2373199,37.6207581,0
"6","29","Cardoso",40.123,-8.836,-9999,"no","Point 41",-8.8757515,40.1223875,0
"7","30","Cardoso",40.129,-8.845,-9999,"no","Point 40",-8.8742065,40.1280317,0
"8","31","Cardoso",40.132,-8.851,-9999,"no","Point 39",-8.8728333,40.1317723,0
"9","35","Dittmann",-18.274,146.085,-9999,"no","Point 24",146.0714722,-18.2808662,0
"10","36","Dittmann",-18.321,146.148,-9999,"no","Point 25",146.1253738,-18.3366025,0
"11","50","FriedHawaii",22.21,-159.51,-9999,"no","Point 15",-159.5141029,22.2272959,0
"12","52","Goodwin",37.2225,-76.385,-9999,"no","Point 7",-76.3811588,37.2201793,0
"13","54","Hall",54.987,-1.496,-9999,"no","Point 47",-1.3643646,55.0047948,0
"14","55","Hall",55.012,-1.424,-9999,"no","Point 45",-1.3451385,55.0103076,0
"15","56","Hall",54.97,-1.588,-9999,"no","Point 48",-1.3746643,55.0051886,0
"16","57","Hall",54.966,-1.689,-9999,"no","Point 49",-1.3794708,55.0028258,0
"17","58","Hall",54.988,-1.452,-9999,"no","Point 46",-1.3547516,55.0016443,0
"18","74","Ivanov",66.215,33.92,-9999,"no","Point 57",33.9815712,66.2357467,0
"19","75","Ivanov",66.215,33.92,-9999,"no","Point 54",33.9807129,66.2356084,0
"20","77","Jones",-36.025,150.127,-9999,"no","Point 21",150.1769257,-36.0274447,0
"21","79","Jones",-34.524,150.834,-9999,"no","Point 23",150.9106064,-34.5447419,0
"22","80","Jones",-35.124,150.611,-9999,"no","Point 22",150.6136322,-35.2091606,0
"23","81","Jones",-36.369,150.058,-9999,"no","Point 20",150.0964165,-36.3702953,0
"24","96","KFMP",34.064383,-120.3566,-9999,"no","Point 12",-120.3537011,34.0646411,0
"25","118","KFMP",34.05635,-119.75515,-9999,"no","Point 14",-119.7544205,34.056935,0
"26","121","Kilfoyle",26.018,-80.112,-9999,"no","Point 58",-80.1050091,26.0175675,0
"27","122","Kilfoyle",26.018,-80.112,-9999,"no","Point 8",-80.1048374,26.0191487,0
"28","124","McClanahan",-4.319,39.577,-9999,"no","Point 34",39.6098328,-4.3238168,0
"29","125","McClanahan",-3.921,39.789,-9999,"no","Point 36",39.8220062,-3.9231698,0
"30","126","McClanahan",-3.989,39.751,-9999,"no","Point 35",39.785614,-3.9930406,0
"31","127","McClanahan",-3.803,39.845,-9999,"no","Point 37",39.8789978,-3.8060205,0
"32","128","McLusky",56.029,-3.657,-9999,"no","Point 42",-3.3178711,56.0137372,0
"33","139","Robinson",48.723,-123.249,-9999,"no","Point 59",-123.2485771,48.7116932,0
"34","140","Robinson",48.723,-123.249,-9999,"no","Point 17",-123.2432556,48.7099941,0
"35","141","Robinson",48.899,-125.278,-9999,"no","Point 60",-125.2353859,48.8763447,0
"36","143","Robinson",48.899,-125.278,-9999,"no","Point 16",-125.2324677,48.8769092,0
"37","145","SBC",34.471817,-120.142617,-9999,"no","Point 10",-120.1428795,34.4662309,0
"38","146","SBC",34.46775,-120.11905,-9999,"no","Point 11",-120.1191902,34.4625511,0
"39","147","SBC",34.458505,-120.33349,-9999,"no","Point 9",-120.3335953,34.4553326,0
"40","153","SBC",34.05865,-119.75763,-9999,"no","Point 13",-119.7571671,34.0591215,0
"41","157","SeaBrook",42.971,-70.753,-9999,"no","Point 2",-70.7529831,42.9655931,0
"42","158","SeaBrook",42.96,-70.769,-9999,"no","Point 1",-70.767746,42.9518995,0
"43","159","Sebens",42.420954,-70.904486,-9999,"no","Point 3",-70.9036052,42.4210409,0
"44","162","Sebens",42.414742,-70.905683,-9999,"no","Point 5",-70.9056222,42.4138649,0
"45","163","Sebens",42.414885,-70.905211,-9999,"no","Point 6",-70.9051609,42.4140708,0
"46","164","Sheaves",-19.273,146.787,-9999,"no","Point 55",146.8525314,-19.2673967,0
"47","165","Sheaves",-19.269,146.788,-9999,"no","Point 56",146.8564796,-19.2601044,0
"48","167","Shin",22.289,114.173,-9999,"no","Point 61",114.1331863,22.3062496,0
"49","169","Shin",22.294,114.223,-9999,"no","Point 62",114.2560959,22.2849666,0
"50","174","Svensson",12.644,109.4,-9999,"no","Point 30",109.3949032,12.6438977,0
"51","175","Svensson",12.643,109.4,-9999,"no","Point 31",109.3948603,12.6428927,0
"52","176","Svensson",12.646,109.398,-9999,"no","Point 33",109.3915558,12.6480014,0
"53","177","Svensson",12.645,109.398,-9999,"no","Point 32",109.3915129,12.6457402,0
"54","178","Svensson",12.653,109.395,-9999,"no","Point 28",109.3866205,12.6530262,0
"55","179","Svensson",12.654,109.393,-9999,"no","Point 29",109.3837023,12.6545336,0
"56","180","Svensson",12.656,109.396,-9999,"no","Point 26",109.3881226,12.6557479,0
"57","181","Svensson",12.655,109.395,-9999,"no","Point 27",109.3869638,12.6548686,0
"58","191","Touzri",37.188,9.855,-9999,"no","Point 38",9.9357605,37.2762384,0
"59","194","Warwick",54.673,-1.118,-9999,"no","Point 53",-0.9963226,54.7709891,0
"60","195","Warwick",54.6,-1.171,-9999,"no","Point 50",-1.0663605,54.6785952,0
"61","196","Warwick",54.657,-1.148,-9999,"no","Point 52",-1.0340881,54.7448388,0
"62","197","Warwick",54.631,-1.16,-9999,"no","Point 51",-1.059494,54.7127222,0
